Gregorian Month,Bangla Month Name,Date,Day Name,Bangla Date,Hijri Date,Bangla Month Full,Hijri Month Full
January,জানুয়ারি,1,বৃহঃ,১৭,12,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,2,শুক্র,১৮,13,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,3,শনি,১৯,14,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,4,রবি,২০,15,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,5,সোম,২১,16,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,6,মঙ্গল,২২,17,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,7,বুধ,২৩,18,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,8,বৃহঃ,২৪,19,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,9,শুক্র,২৫,20,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,10,শনি,২৬,21,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,11,রবি,২৭,22,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,12,সোম,২৮,23,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,13,মঙ্গল,২৯,24,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,14,বুধ,৩০,25,পৌষ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,15,বৃহঃ,১,26,মাঘ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,16,শুক্র,২,27,মাঘ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,17,শনি,৩,28,মাঘ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,18,রবি,৪,29,মাঘ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,19,সোম,৫,30,মাঘ ১৪৩২,রজব ১৪৪৭
January,জানুয়ারি,20,মঙ্গল,৬,1,মাঘ ১৪৩২,শাবান ১৪৪৭
January,জানুয়ারি,21,বুধ,৭,2,মাঘ ১৪৩২,শাবান ১৪৪৭
January,জানুয়ারি,22,বৃহঃ,৮,3,মাঘ ১৪৩২,শাবান ১৪৪৭
January,জানুয়ারি,23,শুক্র,৯,4,মাঘ ১৪৩২,শাবান ১৪৪৭
January,জানুয়ারি,24,শনি,১০,5,মাঘ ১৪৩২,শাবান ১৪৪৭
January,জানুয়ারি,25,রবি,১১,6,মাঘ ১৪৩২,শাবান ১৪৪৭
January,জানুয়ারি,26,সোম,১২,7,মাঘ ১৪৩২,শাবান ১৪৪৭
January,জানুয়ারি,27,মঙ্গল,১৩,8,মাঘ ১৪৩২,শাবান ১৪৪৭
January,জানুয়ারি,28,বুধ,১৪,9,মাঘ ১৪৩২,শাবান ১৪৪৭
January,জানুয়ারি,29,বৃহঃ,১৫,10,মাঘ ১৪৩২,শাবান ১৪৪৭
January,জানুয়ারি,30,শুক্র,১৬,11,মাঘ ১৪৩২,শাবান ১৪৪৭
January,জানুয়ারি,31,শনি,১৭,12,মাঘ ১৪৩২,শাবান ১৪৪৭
February,ফেব্রুয়ারি,1,রবি,১৮,13,মাঘ ১৪৩২,শাবান ১৪৪৭
February,ফেব্রুয়ারি,2,সোম,১৯,14,মাঘ ১৪৩২,শাবান ১৪৪৭
February,ফেব্রুয়ারি,3,মঙ্গল,২০,15,মাঘ ১৪৩২,শাবান ১৪৪৭
February,ফেব্রুয়ারি,4,বুধ,২১,16,মাঘ ১৪৩২,শাবান ১৪৪৭
February,ফেব্রুয়ারি,5,বৃহঃ,২২,17,মাঘ ১৪৩২,শাবান ১৪৪৭
February,ফেব্রুয়ারি,6,শুক্র,২৩,18,মাঘ ১৪৩২,শাবান ১৪৪৭
February,ফেব্রুয়ারি,7,শনি,২৪,19,মাঘ ১৪৩২,শাবান ১৪৪৭
February,ফেব্রুয়ারি,8,রবি,২৫,20,মাঘ ১৪৩২,শাবান ১৪৪৭
